model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
MINI John Cooper Works Hardtop,2.0,4,SemiAuto-6,2WD,Gasoline,CA,small car,3.0,25.0,32.0,28.0,6.0,No
MINI John Cooper Works Hardtop,2.0,4,SemiAuto-6,2WD,Gasoline,FA,small car,3.0,25.0,32.0,28.0,6.0,No
MITSUBISHI Eclipse Cross,1.5,4,SCV-8,2WD,Gasoline,CA,small SUV,5.0,25.0,28.0,26.0,5.0,No
MITSUBISHI Eclipse Cross,1.5,4,SCV-8,2WD,Gasoline,FA,small SUV,5.0,25.0,28.0,26.0,5.0,No
MITSUBISHI Eclipse Cross,1.5,4,SCV-8,4WD,Gasoline,CA,small SUV,5.0,25.0,26.0,25.0,5.0,No
MITSUBISHI Eclipse Cross,1.5,4,SCV-8,4WD,Gasoline,FA,small SUV,5.0,25.0,26.0,25.0,5.0,No
MITSUBISHI Eclipse Cross ES,1.5,4,SCV-8,2WD,Gasoline,CA,small SUV,5.0,26.0,29.0,27.0,6.0,No
MITSUBISHI Eclipse Cross ES,1.5,4,SCV-8,2WD,Gasoline,FA,small SUV,5.0,26.0,29.0,27.0,6.0,No
MITSUBISHI Eclipse Cross ES,1.5,4,SCV-8,4WD,Gasoline,CA,small SUV,5.0,25.0,28.0,26.0,5.0,No
MITSUBISHI Eclipse Cross ES,1.5,4,SCV-8,4WD,Gasoline,FA,small SUV,5.0,25.0,28.0,26.0,5.0,No
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,CA,small car,5.0,37.0,43.0,39.0,9.0,Yes
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,FA,small car,5.0,37.0,43.0,39.0,9.0,Yes
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,CA,small car,5.0,33.0,41.0,36.0,8.0,Yes
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,FA,small car,5.0,33.0,41.0,36.0,8.0,Yes
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,CA,small car,5.0,35.0,41.0,37.0,8.0,Yes
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,FA,small car,5.0,35.0,41.0,37.0,8.0,Yes
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,CA,small car,5.0,33.0,40.0,35.0,8.0,Yes
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,FA,small car,5.0,33.0,40.0,35.0,8.0,Yes
MITSUBISHI Outlander,2.4,4,SCV-6,2WD,Gasoline,CA,small SUV,5.0,25.0,30.0,27.0,6.0,No
MITSUBISHI Outlander,2.4,4,SCV-6,2WD,Gasoline,FA,small SUV,5.0,25.0,30.0,27.0,6.0,No
MITSUBISHI Outlander,2.4,4,SCV-6,4WD,Gasoline,CA,small SUV,5.0,24.0,29.0,26.0,5.0,No
MITSUBISHI Outlander,2.4,4,SCV-6,4WD,Gasoline,FA,small SUV,5.0,24.0,29.0,26.0,5.0,No
MITSUBISHI Outlander,3.0,6,SemiAuto-6,4WD,Gasoline,CA,small SUV,5.0,20.0,27.0,22.0,4.0,No
MITSUBISHI Outlander,3.0,6,SemiAuto-6,4WD,Gasoline,FA,small SUV,5.0,20.0,27.0,22.0,4.0,No
MITSUBISHI Outlander Sport,2.0,4,Man-5,2WD,Gasoline,CA,small SUV,5.0,23.0,29.0,25.0,5.0,No
MITSUBISHI Outlander Sport,2.0,4,Man-5,2WD,Gasoline,FA,small SUV,5.0,23.0,29.0,25.0,5.0,No
MITSUBISHI Outlander Sport,2.0,4,SCV-6,2WD,Gasoline,CA,small SUV,5.0,24.0,30.0,27.0,6.0,No
MITSUBISHI Outlander Sport,2.0,4,SCV-6,2WD,Gasoline,FA,small SUV,5.0,24.0,30.0,27.0,6.0,No
MITSUBISHI Outlander Sport,2.0,4,SCV-6,4WD,Gasoline,CA,small SUV,5.0,23.0,29.0,26.0,5.0,No
MITSUBISHI Outlander Sport,2.0,4,SCV-6,4WD,Gasoline,FA,small SUV,5.0,23.0,29.0,26.0,5.0,No
MITSUBISHI Outlander Sport,2.4,4,SCV-6,2WD,Gasoline,CA,small SUV,5.0,23.0,29.0,25.0,5.0,No
MITSUBISHI Outlander Sport,2.4,4,SCV-6,2WD,Gasoline,FA,small SUV,5.0,23.0,29.0,25.0,5.0,No
MITSUBISHI Outlander Sport,2.4,4,SCV-6,4WD,Gasoline,CA,small SUV,5.0,23.0,28.0,25.0,5.0,No
MITSUBISHI Outlander Sport,2.4,4,SCV-6,4WD,Gasoline,FA,small SUV,5.0,23.0,28.0,25.0,5.0,No
NISSAN 370Z,3.7,6,Man-6,2WD,Gasoline,FA,small car,3.0,18.0,26.0,21.0,4.0,No
NISSAN 370Z,3.7,6,Man-6,2WD,Gasoline,CA,small car,3.0,18.0,26.0,21.0,4.0,No
