model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
FORD Escape,2.0,4,SemiAuto-6,2WD,Gasoline,FA,small SUV,5.0,21.0,28.0,24.0,5.0,No
FORD Escape,2.0,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,5.0,20.0,27.0,23.0,5.0,No
FORD Escape,2.0,4,SemiAuto-6,4WD,Gasoline,FA,small SUV,5.0,20.0,27.0,23.0,5.0,No
FORD Escape,2.5,4,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,21.0,29.0,24.0,5.0,No
FORD Escape,2.5,4,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,21.0,29.0,24.0,5.0,No
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,CA,standard SUV,5.0,17.0,24.0,20.0,4.0,No
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,FA,standard SUV,5.0,17.0,24.0,20.0,4.0,No
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,CA,standard SUV,5.0,17.0,22.0,19.0,3.0,No
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,FA,standard SUV,5.0,17.0,22.0,19.0,3.0,No
FORD Expedition MAX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,standard SUV,5.0,17.0,23.0,19.0,3.0,No
FORD Expedition MAX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,standard SUV,5.0,17.0,23.0,19.0,3.0,No
FORD Expedition MAX,3.5,6,SemiAuto-10,4WD,Gasoline,CA,standard SUV,5.0,16.0,21.0,18.0,3.0,No
FORD Expedition MAX,3.5,6,SemiAuto-10,4WD,Gasoline,FA,standard SUV,5.0,16.0,21.0,18.0,3.0,No
FORD Explorer,2.3,4,SemiAuto-6,2WD,Gasoline,FA,standard SUV,3.0,19.0,27.0,22.0,4.0,No
FORD Explorer,2.3,4,SemiAuto-6,2WD,Gasoline,CA,standard SUV,3.0,19.0,27.0,22.0,4.0,No
FORD Explorer,2.3,4,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,18.0,25.0,21.0,4.0,No
FORD Explorer,2.3,4,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,18.0,25.0,21.0,4.0,No
FORD Explorer,3.5,6,SemiAuto-6,2WD,Gasoline,FA,standard SUV,3.0,17.0,24.0,20.0,4.0,No
FORD Explorer,3.5,6,SemiAuto-6,2WD,Gasoline,CA,standard SUV,3.0,17.0,24.0,20.0,4.0,No
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,16.0,22.0,18.0,3.0,No
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,16.0,22.0,18.0,3.0,No
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,16.0,22.0,19.0,3.0,No
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,16.0,22.0,19.0,3.0,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,19.0,25.0,21.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,20.0,25.0,22.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,20.0,26.0,22.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,19.0,25.0,21.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,20.0,25.0,22.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,20.0,26.0,22.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,18.0,23.0,20.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,19.0,24.0,21.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,18.0,23.0,20.0,4.0,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,19.0,24.0,21.0,4.0,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,CA,pickup,5.0,19.0,24.0,21.0,4.0,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,CA,pickup,5.0,19.0,25.0,22.0,4.0,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,FA,pickup,5.0,19.0,24.0,21.0,4.0,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,FA,pickup,5.0,19.0,25.0,22.0,4.0,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,CA,pickup,5.0,17.0,22.0,19.0,3.0,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,CA,pickup,5.0,18.0,23.0,20.0,4.0,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,FA,pickup,5.0,17.0,22.0,19.0,3.0,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,FA,pickup,5.0,18.0,23.0,20.0,4.0,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,17.0,21.0,19.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,17.0,22.0,19.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,18.0,25.0,21.0,4.0,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,17.0,21.0,19.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,17.0,22.0,19.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,18.0,25.0,21.0,4.0,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,16.0,21.0,18.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,17.0,22.0,19.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,17.0,23.0,19.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,16.0,21.0,18.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,17.0,22.0,19.0,3.0,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,17.0,23.0,19.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,CA,pickup,3.0,16.0,20.0,17.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,CA,pickup,3.0,16.0,21.0,18.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,CA,pickup,3.0,17.0,23.0,19.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,FA,pickup,3.0,16.0,20.0,17.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,FA,pickup,3.0,16.0,21.0,18.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,FA,pickup,3.0,17.0,23.0,19.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,15.0,19.0,17.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,16.0,20.0,17.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,16.0,22.0,18.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,15.0,19.0,17.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,16.0,20.0,17.0,3.0,No
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,16.0,22.0,18.0,3.0,No
FORD F150 Raptor,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,15.0,18.0,16.0,2.0,No
FORD F150 Raptor,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,15.0,18.0,16.0,2.0,No
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,CA,small car,3.0,27.0,37.0,31.0,7.0,Yes
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,FA,small car,3.0,27.0,37.0,31.0,7.0,Yes
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,CA,small car,3.0,27.0,35.0,30.0,7.0,Yes
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,FA,small car,3.0,27.0,35.0,30.0,7.0,Yes
FORD Fiesta ST,1.6,4,Man-6,2WD,Gasoline,CA,small car,3.0,26.0,33.0,29.0,6.0,No
FORD Fiesta ST,1.6,4,Man-6,2WD,Gasoline,FA,small car,3.0,26.0,33.0,29.0,6.0,No
FORD Flex,3.5,6,SemiAuto-6,2WD,Gasoline,FA,standard SUV,3.0,16.0,23.0,19.0,3.0,No
FORD Flex,3.5,6,SemiAuto-6,2WD,Gasoline,CA,standard SUV,3.0,16.0,23.0,19.0,3.0,No
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,15.0,21.0,17.0,3.0,No
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,15.0,21.0,17.0,3.0,No
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,16.0,22.0,18.0,3.0,No
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,16.0,22.0,18.0,3.0,No
FORD Focus,1.0,3,Man-6,2WD,Gasoline,FA,small car,3.0,30.0,40.0,34.0,8.0,Yes
FORD Focus,1.0,3,Man-6,2WD,Gasoline,CA,small car,3.0,30.0,40.0,34.0,8.0,Yes
FORD Focus,1.0,3,SemiAuto-6,2WD,Gasoline,FA,small car,3.0,27.0,38.0,31.0,7.0,Yes
FORD Focus,1.0,3,SemiAuto-6,2WD,Gasoline,CA,small car,3.0,27.0,38.0,31.0,7.0,Yes
FORD Focus,2.0,4,AMS-6,2WD,Gasoline,CA,small car,7.0,24.0,34.0,28.0,6.0,No
FORD Focus,2.0,4,AMS-6,2WD,Gasoline,FA,small car,7.0,24.0,34.0,28.0,6.0,No
FORD Focus,2.0,4,AutoMan-6,2WD,Gasoline,CA,small car,7.0,26.0,38.0,31.0,7.0,Yes
FORD Focus,2.0,4,AutoMan-6,2WD,Gasoline,FA,small car,7.0,26.0,38.0,31.0,7.0,Yes
FORD Focus,2.0,4,Man-5,2WD,Gasoline,CA,small car,7.0,25.0,34.0,28.0,6.0,No
FORD Focus,2.0,4,Man-5,2WD,Gasoline,FA,small car,7.0,25.0,34.0,28.0,6.0,No
FORD Focus RS,2.3,4,Man-6,4WD,Gasoline,FA,midsize car,3.0,19.0,26.0,22.0,4.0,No
FORD Focus RS,2.3,4,Man-6,4WD,Gasoline,CA,midsize car,3.0,19.0,26.0,22.0,4.0,No
FORD Focus ST,2.0,4,Man-6,2WD,Gasoline,FA,midsize car,3.0,22.0,30.0,25.0,5.0,No
FORD Focus ST,2.0,4,Man-6,2WD,Gasoline,CA,midsize car,3.0,22.0,30.0,25.0,5.0,No
FORD Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,CA,midsize car,7.0,23.0,34.0,27.0,6.0,No
FORD Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,FA,midsize car,7.0,23.0,34.0,27.0,6.0,No
FORD Fusion,2.0,4,SemiAuto-6,2WD,Gasoline,CA,midsize car,5.0,21.0,31.0,25.0,5.0,No
FORD Fusion,2.0,4,SemiAuto-6,2WD,Gasoline,FA,midsize car,5.0,21.0,31.0,25.0,5.0,No
FORD Fusion,2.0,4,SemiAuto-6,4WD,Gasoline,CA,midsize car,5.0,20.0,29.0,23.0,5.0,No
FORD Fusion,2.0,4,SemiAuto-6,4WD,Gasoline,FA,midsize car,5.0,20.0,29.0,23.0,5.0,No
FORD Fusion,2.5,4,Auto-6,2WD,Gasoline,CA,midsize car,5.0,21.0,32.0,25.0,5.0,No
FORD Fusion,2.5,4,Auto-6,2WD,Gasoline,FA,midsize car,5.0,21.0,32.0,25.0,5.0,No
FORD Fusion,2.7,6,SemiAuto-6,4WD,Gasoline,CA,midsize car,5.0,17.0,26.0,20.0,4.0,No
FORD Fusion,2.7,6,SemiAuto-6,4WD,Gasoline,FA,midsize car,5.0,17.0,26.0,20.0,4.0,No
FORD Fusion Hybrid,2.0,4,CVT,2WD,Gasoline,CA,midsize car,7.0,43.0,41.0,42.0,9.0,Yes
FORD Fusion Hybrid,2.0,4,CVT,2WD,Gasoline,FA,midsize car,7.0,43.0,41.0,42.0,9.0,Yes
FORD GT,3.5,6,AutoMan-7,2WD,Gasoline,CA,small car,3.0,11.0,18.0,14.0,1.0,No
FORD GT,3.5,6,AutoMan-7,2WD,Gasoline,FA,small car,3.0,11.0,18.0,14.0,1.0,No
FORD Mustang,2.3,4,Man-6,2WD,Gasoline,CA,small car,5.0,21.0,31.0,25.0,5.0,No
FORD Mustang,2.3,4,Man-6,2WD,Gasoline,FA,small car,5.0,21.0,31.0,25.0,5.0,No
FORD Mustang,2.3,4,SemiAuto-10,2WD,Gasoline,CA,small car,5.0,21.0,32.0,25.0,5.0,No
FORD Mustang,2.3,4,SemiAuto-10,2WD,Gasoline,FA,small car,5.0,21.0,32.0,25.0,5.0,No
FORD Mustang,5.0,8,Man-6,2WD,Gasoline,CA,small car,3.0,15.0,25.0,18.0,3.0,No
FORD Mustang,5.0,8,Man-6,2WD,Gasoline,FA,small car,3.0,15.0,25.0,18.0,3.0,No
FORD Mustang,5.0,8,SemiAuto-10,2WD,Gasoline,CA,small car,3.0,16.0,25.0,19.0,3.0,No
FORD Mustang,5.0,8,SemiAuto-10,2WD,Gasoline,FA,small car,3.0,16.0,25.0,19.0,3.0,No
FORD Mustang Convertible,2.3,4,Man-6,2WD,Gasoline,CA,small car,5.0,20.0,28.0,23.0,5.0,No
FORD Mustang Convertible,2.3,4,Man-6,2WD,Gasoline,FA,small car,5.0,20.0,28.0,23.0,5.0,No
FORD Mustang Convertible,2.3,4,SemiAuto-10,2WD,Gasoline,CA,small car,5.0,20.0,29.0,23.0,5.0,No
FORD Mustang Convertible,2.3,4,SemiAuto-10,2WD,Gasoline,FA,small car,5.0,20.0,29.0,23.0,5.0,No
FORD Mustang Convertible,5.0,8,SemiAuto-10,2WD,Gasoline,CA,small car,3.0,15.0,24.0,18.0,3.0,No
FORD Mustang Convertible,5.0,8,SemiAuto-10,2WD,Gasoline,FA,small car,3.0,15.0,24.0,18.0,3.0,No
FORD Mustang Performance Package,2.3,4,Man-6,2WD,Gasoline,CA,small car,5.0,20.0,28.0,23.0,5.0,No
FORD Mustang Performance Package,2.3,4,Man-6,2WD,Gasoline,FA,small car,5.0,20.0,28.0,23.0,5.0,No
FORD Mustang Performance Package,2.3,4,SemiAuto-10,2WD,Gasoline,CA,small car,5.0,20.0,29.0,23.0,5.0,No
FORD Mustang Performance Package,2.3,4,SemiAuto-10,2WD,Gasoline,FA,small car,5.0,20.0,29.0,23.0,5.0,No
FORD Shelby GT350 Mustang,5.2,8,Man-6,2WD,Gasoline,FA,small car,3.0,14.0,21.0,16.0,2.0,No
FORD Shelby GT350 Mustang,5.2,8,Man-6,2WD,Gasoline,CA,small car,3.0,14.0,21.0,16.0,2.0,No
FORD Taurus,3.5,6,SemiAuto-6,2WD,Gasoline,FA,large car,3.0,18.0,27.0,21.0,4.0,No
FORD Taurus,3.5,6,SemiAuto-6,2WD,Gasoline,CA,large car,3.0,18.0,27.0,21.0,4.0,No
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,FA,large car,3.0,16.0,24.0,19.0,3.0,No
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,CA,large car,3.0,16.0,24.0,19.0,3.0,No
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,FA,large car,3.0,17.0,24.0,19.0,3.0,No
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,CA,large car,3.0,17.0,24.0,19.0,3.0,No
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,CA,special purpose,3.0,19.0,27.0,22.0,4.0,No
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,CA,special purpose,3.0,20.0,27.0,23.0,5.0,No
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,FA,special purpose,3.0,19.0,27.0,22.0,4.0,No
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,FA,special purpose,3.0,20.0,27.0,23.0,5.0,No
FORD Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,CA,van,1.0,15.0,18.0,16.0,2.0,No
FORD Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,FA,van,1.0,15.0,18.0,16.0,2.0,No
FORD Transit T150,3.7,6,SemiAuto-6,2WD,Gasoline,CA,van,1.0,14.0,18.0,16.0,2.0,No
FORD Transit T150,3.7,6,SemiAuto-6,2WD,Gasoline,FA,van,1.0,14.0,18.0,16.0,2.0,No
GENESIS G80,3.3,6,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,17.0,25.0,20.0,4.0,No
GENESIS G80,3.3,6,SemiAuto-8,2WD,Gasoline,FA,large car,3.0,17.0,25.0,20.0,4.0,No
GENESIS G80,3.3,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,17.0,24.0,20.0,4.0,No
GENESIS G80,3.3,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,17.0,24.0,20.0,4.0,No
GENESIS G80,3.8,6,SemiAuto-8,2WD,Gasoline,CA,large car,5.0,19.0,27.0,22.0,4.0,No
GENESIS G80,3.8,6,SemiAuto-8,2WD,Gasoline,FA,large car,5.0,19.0,27.0,22.0,4.0,No
GENESIS G80,3.8,6,SemiAuto-8,4WD,Gasoline,CA,large car,5.0,18.0,25.0,20.0,4.0,No
GENESIS G80,3.8,6,SemiAuto-8,4WD,Gasoline,FA,large car,5.0,18.0,25.0,20.0,4.0,No
GENESIS G80,5.0,8,SemiAuto-8,2WD,Gasoline,CA,large car,5.0,16.0,24.0,19.0,3.0,No
GENESIS G80,5.0,8,SemiAuto-8,2WD,Gasoline,FA,large car,5.0,16.0,24.0,19.0,3.0,No
GENESIS G80,5.0,8,SemiAuto-8,4WD,Gasoline,CA,large car,5.0,15.0,23.0,18.0,3.0,No
GENESIS G80,5.0,8,SemiAuto-8,4WD,Gasoline,FA,large car,5.0,15.0,23.0,18.0,3.0,No
GENESIS G90,3.3,6,SemiAuto-8,2WD,Gasoline,FA,large car,3.0,17.0,24.0,20.0,4.0,No
GENESIS G90,3.3,6,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,17.0,24.0,20.0,4.0,No
GENESIS G90,3.3,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,17.0,24.0,20.0,4.0,No
GENESIS G90,3.3,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,17.0,24.0,20.0,4.0,No
GENESIS G90,5.0,8,SemiAuto-8,2WD,Gasoline,CA,large car,5.0,16.0,24.0,19.0,3.0,No
GENESIS G90,5.0,8,SemiAuto-8,2WD,Gasoline,FA,large car,5.0,16.0,24.0,19.0,3.0,No
GENESIS G90,5.0,8,SemiAuto-8,4WD,Gasoline,CA,large car,5.0,15.0,23.0,18.0,3.0,No
GENESIS G90,5.0,8,SemiAuto-8,4WD,Gasoline,FA,large car,5.0,15.0,23.0,18.0,3.0,No
GMC Acadia,2.5,4,Auto-6,2WD,Gasoline,CA,standard SUV,3.0,21.0,26.0,23.0,5.0,No
GMC Acadia,2.5,4,Auto-6,2WD,Gasoline,FA,standard SUV,3.0,21.0,26.0,23.0,5.0,No
GMC Acadia,2.5,4,Auto-6,4WD,Gasoline,CA,standard SUV,3.0,21.0,25.0,23.0,5.0,No
GMC Acadia,2.5,4,Auto-6,4WD,Gasoline,FA,standard SUV,3.0,21.0,25.0,23.0,5.0,No
GMC Acadia,3.6,6,Auto-6,2WD,Gasoline,CA,standard SUV,5.0,18.0,25.0,21.0,4.0,No
GMC Acadia,3.6,6,Auto-6,2WD,Gasoline,FA,standard SUV,5.0,18.0,25.0,21.0,4.0,No
GMC Acadia,3.6,6,Auto-6,4WD,Gasoline,CA,standard SUV,5.0,17.0,25.0,20.0,4.0,No
GMC Acadia,3.6,6,Auto-6,4WD,Gasoline,FA,standard SUV,5.0,17.0,25.0,20.0,4.0,No
GMC Canyon,2.5,4,Auto-6,2WD,Gasoline,CA,pickup,5.0,20.0,26.0,22.0,4.0,No
GMC Canyon,2.5,4,Auto-6,2WD,Gasoline,FA,pickup,5.0,20.0,26.0,22.0,4.0,No
GMC Canyon,2.5,4,Auto-6,4WD,Gasoline,CA,pickup,5.0,19.0,24.0,21.0,4.0,No
GMC Canyon,2.5,4,Auto-6,4WD,Gasoline,FA,pickup,5.0,19.0,24.0,21.0,4.0,No
GMC Canyon,2.5,4,Man-6,2WD,Gasoline,CA,pickup,5.0,20.0,26.0,22.0,4.0,No
GMC Canyon,2.5,4,Man-6,2WD,Gasoline,FA,pickup,5.0,20.0,26.0,22.0,4.0,No
GMC Canyon,2.8,4,Auto-6,2WD,Diesel,CA,pickup,3.0,22.0,30.0,25.0,4.0,No
GMC Canyon,2.8,4,Auto-6,2WD,Diesel,FA,pickup,3.0,22.0,30.0,25.0,4.0,No
GMC Canyon,2.8,4,Auto-6,4WD,Diesel,CA,pickup,3.0,20.0,28.0,23.0,4.0,No
GMC Canyon,2.8,4,Auto-6,4WD,Diesel,FA,pickup,3.0,20.0,28.0,23.0,4.0,No
GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,CA,pickup,5.0,18.0,25.0,20.0,4.0,No
GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,FA,pickup,5.0,18.0,25.0,20.0,4.0,No
GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,CA,special purpose,5.0,15.0,15.0,15.0,2.0,No
GMC Canyon,3.6,6,Auto-8,2WD,Gasoline,FA,special purpose,5.0,15.0,15.0,15.0,2.0,No
GMC Canyon,3.6,6,Auto-8,4WD,Gasoline,CA,pickup,5.0,17.0,24.0,19.0,3.0,No
GMC Canyon,3.6,6,Auto-8,4WD,Gasoline,FA,pickup,5.0,17.0,24.0,19.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,CA,pickup,3.0,16.0,23.0,19.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,CA,special purpose,3.0,15.0,20.0,17.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,FA,pickup,3.0,16.0,23.0,19.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,2WD,Gasoline,FA,special purpose,3.0,15.0,20.0,17.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,CA,pickup,3.0,16.0,22.0,18.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,CA,special purpose,3.0,15.0,19.0,17.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,FA,pickup,3.0,16.0,22.0,18.0,3.0,No
GMC Sierra 15,5.3,8,Auto-6,4WD,Gasoline,FA,special purpose,3.0,15.0,19.0,17.0,3.0,No
GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,CA,pickup,3.0,18.0,24.0,20.0,4.0,No
GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,FA,pickup,3.0,18.0,24.0,20.0,4.0,No
GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,CA,pickup,3.0,16.0,22.0,18.0,3.0,No
GMC Sierra 15,5.3,8,Auto-8,2WD,Gasoline,FA,pickup,3.0,16.0,22.0,18.0,3.0,No
GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,CA,pickup,3.0,16.0,21.0,18.0,3.0,No
GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,FA,pickup,3.0,16.0,21.0,18.0,3.0,No
GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,CA,pickup,3.0,15.0,20.0,17.0,3.0,No
GMC Sierra 15,5.3,8,Auto-8,4WD,Gasoline,FA,pickup,3.0,15.0,20.0,17.0,3.0,No
GMC Sierra 15,6.2,8,Auto-8,2WD,Gasoline,CA,pickup,3.0,15.0,21.0,17.0,3.0,No
GMC Sierra 15,6.2,8,Auto-8,2WD,Gasoline,FA,pickup,3.0,15.0,21.0,17.0,3.0,No
GMC Sierra 15,6.2,8,Auto-8,4WD,Gasoline,CA,pickup,3.0,15.0,20.0,17.0,3.0,No
GMC Sierra 15,6.2,8,Auto-8,4WD,Gasoline,FA,pickup,3.0,15.0,20.0,17.0,3.0,No
GMC Terrain,1.5,4,Auto-9,2WD,Gasoline,CA,small SUV,5.0,26.0,30.0,28.0,6.0,No
GMC Terrain,1.5,4,Auto-9,2WD,Gasoline,FA,small SUV,5.0,26.0,30.0,28.0,6.0,No
GMC Terrain,1.5,4,Auto-9,4WD,Gasoline,CA,small SUV,5.0,24.0,28.0,26.0,5.0,No
GMC Terrain,1.5,4,Auto-9,4WD,Gasoline,FA,small SUV,5.0,24.0,28.0,26.0,5.0,No
GMC Terrain,1.6,4,Auto-6,2WD,Diesel,CA,small SUV,3.0,28.0,39.0,32.0,6.0,No
GMC Terrain,1.6,4,Auto-6,2WD,Diesel,FA,small SUV,3.0,28.0,39.0,32.0,6.0,No
GMC Terrain,1.6,4,Auto-6,4WD,Diesel,CA,small SUV,3.0,28.0,38.0,32.0,6.0,No
GMC Terrain,1.6,4,Auto-6,4WD,Diesel,FA,small SUV,3.0,28.0,38.0,32.0,6.0,No
GMC Terrain,2.0,4,Auto-9,2WD,Gasoline,CA,small SUV,5.0,22.0,28.0,24.0,5.0,No
GMC Terrain,2.0,4,Auto-9,2WD,Gasoline,FA,small SUV,5.0,22.0,28.0,24.0,5.0,No
GMC Terrain,2.0,4,Auto-9,4WD,Gasoline,CA,small SUV,5.0,21.0,26.0,23.0,5.0,No
GMC Terrain,2.0,4,Auto-9,4WD,Gasoline,FA,small SUV,5.0,21.0,26.0,23.0,5.0,No
GMC Yukon 1500,5.3,8,Auto-6,2WD,Gasoline,CA,standard SUV,3.0,16.0,23.0,19.0,3.0,No
GMC Yukon 1500,5.3,8,Auto-6,2WD,Gasoline,FA,standard SUV,3.0,16.0,23.0,19.0,3.0,No
GMC Yukon 1500,5.3,8,Auto-6,4WD,Gasoline,CA,standard SUV,3.0,16.0,22.0,18.0,3.0,No
GMC Yukon 1500,5.3,8,Auto-6,4WD,Gasoline,FA,standard SUV,3.0,16.0,22.0,18.0,3.0,No
GMC Yukon 1500,6.2,8,Auto-10,2WD,Gasoline,CA,standard SUV,3.0,14.0,23.0,17.0,3.0,No
GMC Yukon 1500,6.2,8,Auto-10,2WD,Gasoline,FA,standard SUV,3.0,14.0,23.0,17.0,3.0,No
GMC Yukon 1500,6.2,8,Auto-10,4WD,Gasoline,CA,standard SUV,3.0,14.0,22.0,17.0,3.0,No
GMC Yukon 1500,6.2,8,Auto-10,4WD,Gasoline,FA,standard SUV,3.0,14.0,22.0,17.0,3.0,No
GMC Yukon 1500 XL,5.3,8,Auto-6,2WD,Gasoline,CA,standard SUV,3.0,16.0,23.0,19.0,3.0,No
GMC Yukon 1500 XL,5.3,8,Auto-6,2WD,Gasoline,FA,standard SUV,3.0,16.0,23.0,19.0,3.0,No
