model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
AUDI A4,2.0,4,Man-6,4WD,Gasoline,FA,small car,3.0,24,33,27,6,No
AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,CA,small car,3.0,27,37,31,7,Yes
AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,FA,small car,3.0,27,37,31,7,Yes
AUDI A5,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No
AUDI A5,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No
AUDI A5,2.0,4,Man-6,4WD,Gasoline,CA,small car,3.0,24,33,27,6,No
AUDI A5,2.0,4,Man-6,4WD,Gasoline,FA,small car,3.0,24,33,27,6,No
AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No
AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No
AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,CA,midsize car,5.0,24,34,27,6,No
AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,FA,midsize car,5.0,24,34,27,6,No
AUDI A6,2.0,4,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25,34,28,6,No
AUDI A6,2.0,4,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25,34,28,6,No
AUDI A6,2.0,4,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22,31,26,5,No
AUDI A6,2.0,4,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22,31,26,5,No
AUDI A6,3.0,6,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20,29,23,5,No
AUDI A6,3.0,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20,29,23,5,No
AUDI A7,3.0,6,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20,29,23,5,No
AUDI A7,3.0,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20,29,23,5,No
AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,19,29,22,4,No
AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,19,29,22,4,No
AUDI A8 L,4.0,8,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,16,26,19,3,No
AUDI A8 L,4.0,8,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,16,26,19,3,No
AUDI Q3,2.0,4,SemiAuto-6,2WD,Gasoline,FA,small car,3.0,20,28,23,5,No
AUDI Q3,2.0,4,SemiAuto-6,2WD,Gasoline,CA,small car,3.0,20,28,23,5,No
AUDI Q3,2.0,4,SemiAuto-6,4WD,Gasoline,FA,small car,3.0,20,28,23,5,No
AUDI Q3,2.0,4,SemiAuto-6,4WD,Gasoline,CA,small car,3.0,20,28,23,5,No
AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,CA,small SUV,3.0,23,27,25,5,No
AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,FA,small SUV,3.0,23,27,25,5,No
AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,19,25,21,4,No
AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,19,25,21,4,No
AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,19,25,21,4,No
AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,19,25,21,4,No
AUDI R8,5.2,10,AMS-7,2WD,Gasoline,CA,small car,1.0,14,25,18,3,No
AUDI R8,5.2,10,AMS-7,2WD,Gasoline,FA,small car,1.0,14,25,18,3,No
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,CA,small car,1.0,14,22,17,3,No
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,FA,small car,1.0,14,22,17,3,No
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,CA,small car,1.0,14,25,18,3,No
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,FA,small car,1.0,14,25,18,3,No
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,CA,small car,1.0,14,22,17,3,No
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,FA,small car,1.0,14,22,17,3,No
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,CA,small car,3.0,19,28,22,4,No
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,FA,small car,3.0,19,28,22,4,No
AUDI RS5,2.9,6,AMS-8,4WD,Gasoline,CA,small car,5.0,18,26,21,4,No
AUDI RS5,2.9,6,AMS-8,4WD,Gasoline,FA,small car,5.0,18,26,21,4,No
AUDI RS7,4.0,8,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,14,24,17,3,No
AUDI RS7,4.0,8,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,14,24,17,3,No
AUDI S3,2.0,4,AMS-7,4WD,Gasoline,FA,small car,3.0,22,28,25,5,No
AUDI S3,2.0,4,AMS-7,4WD,Gasoline,CA,small car,3.0,22,28,25,5,No
AUDI S4,3.0,6,AMS-8,4WD,Gasoline,CA,small car,5.0,21,30,24,5,No
AUDI S4,3.0,6,AMS-8,4WD,Gasoline,FA,small car,5.0,21,30,24,5,No
AUDI S5,3.0,6,AMS-8,4WD,Gasoline,CA,small car,5.0,21,30,24,5,No
AUDI S5,3.0,6,AMS-8,4WD,Gasoline,FA,small car,5.0,21,30,24,5,No
AUDI S5 Cabriolet,3.0,6,AMS-8,4WD,Gasoline,CA,small car,5.0,20,29,23,5,No
AUDI S5 Cabriolet,3.0,6,AMS-8,4WD,Gasoline,FA,small car,5.0,20,29,23,5,No
AUDI S5 Sportback,3.0,6,AMS-8,4WD,Gasoline,CA,midsize car,5.0,21,30,24,5,No
AUDI S5 Sportback,3.0,6,AMS-8,4WD,Gasoline,FA,midsize car,5.0,21,30,24,5,No
AUDI S6,4.0,8,AMS-7,4WD,Gasoline,FA,midsize car,3.0,16,24,18,3,No
AUDI S6,4.0,8,AMS-7,4WD,Gasoline,CA,midsize car,3.0,16,24,18,3,No
AUDI S7,4.0,8,AMS-7,4WD,Gasoline,FA,midsize car,3.0,16,24,18,3,No
AUDI S7,4.0,8,AMS-7,4WD,Gasoline,CA,midsize car,3.0,16,24,18,3,No
AUDI S8,4.0,8,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,14,24,18,3,No
AUDI S8,4.0,8,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,14,24,18,3,No
AUDI SQ5,3.0,6,AMS-8,4WD,Gasoline,CA,small SUV,5.0,19,24,21,4,No
AUDI SQ5,3.0,6,AMS-8,4WD,Gasoline,FA,small SUV,5.0,19,24,21,4,No
AUDI TT Coupe,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7.0,23,30,26,5,No
AUDI TT Coupe,2.0,4,AMS-6,4WD,Gasoline,FA,small car,7.0,23,30,26,5,No
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,CA,small car,3.0,19,29,22,4,No
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,FA,small car,3.0,19,29,22,4,No
AUDI TT Roadster,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7.0,23,30,26,5,No
AUDI TT Roadster,2.0,4,AMS-6,4WD,Gasoline,FA,small car,7.0,23,30,26,5,No
AUDI TTS Coupe,2.0,4,AMS-6,4WD,Gasoline,FA,small car,3.0,23,27,25,5,No
AUDI TTS Coupe,2.0,4,AMS-6,4WD,Gasoline,CA,small car,3.0,23,27,25,5,No
AUDI allroad quattro,2.0,4,AMS-7,4WD,Gasoline,CA,station wagon,5.0,22,30,25,5,No
AUDI allroad quattro,2.0,4,AMS-7,4WD,Gasoline,FA,station wagon,5.0,22,30,25,5,No
BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,12,19,15,2,No
BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,12,19,15,2,No
BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,CA,small car,1.0,9,14,11,1,No
BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,FA,small car,1.0,9,14,11,1,No
BENTLEY Continental GT Convertible,6.0,12,SemiAuto-8,4WD,Gasoline,CA,small car,1.0,12,20,14,1,No
BENTLEY Continental GT Convertible,6.0,12,SemiAuto-8,4WD,Gasoline,FA,small car,1.0,12,20,14,1,No
BENTLEY Continental Supersports Convt,6.0,12,SemiAuto-8,4WD,Gasoline,CA,small car,1.0,12,20,14,1,No
BENTLEY Continental Supersports Convt,6.0,12,SemiAuto-8,4WD,Gasoline,FA,small car,1.0,12,20,14,1,No
BENTLEY Flying Spur,4.0,8,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,13,22,16,2,No
BENTLEY Flying Spur,4.0,8,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,13,22,16,2,No
BENTLEY Flying Spur,6.0,12,SemiAuto-8,4WD,Gasoline,CA,midsize car,1.0,12,20,14,1,No
BENTLEY Flying Spur,6.0,12,SemiAuto-8,4WD,Gasoline,FA,midsize car,1.0,12,20,14,1,No
BENTLEY Mulsanne,6.8,8,SemiAuto-8,2WD,Gasoline,CA,midsize car,1.0,11,18,14,1,No
BENTLEY Mulsanne,6.8,8,SemiAuto-8,2WD,Gasoline,FA,midsize car,1.0,11,18,14,1,No
BMW 230i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No
BMW 230i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No
BMW 230i Coupe,2.0,4,Man-6,2WD,Gasoline,CA,small car,7.0,21,32,25,5,No
BMW 230i Coupe,2.0,4,Man-6,2WD,Gasoline,FA,small car,7.0,21,32,25,5,No
BMW 230i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,35,28,6,No
BMW 230i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,35,28,6,No
BMW 230i xDrive Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No
BMW 230i xDrive Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No
BMW 230i xDrive Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,24,33,27,6,No
BMW 230i xDrive Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,24,33,27,6,No
BMW 320i,2.0,4,Man-6,2WD,Gasoline,FA,small car,3.0,23,35,27,6,No
BMW 320i,2.0,4,Man-6,2WD,Gasoline,CA,small car,3.0,23,35,27,6,No
BMW 320i,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,24,35,28,6,No
BMW 320i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,24,35,28,6,No
BMW 320i,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,23,34,27,6,No
BMW 320i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,23,34,27,6,No
BMW 328d,2.0,4,SemiAuto-8,2WD,Diesel,FA,small car,3.0,31,43,36,7,Yes
BMW 328d,2.0,4,SemiAuto-8,2WD,Diesel,CA,small car,3.0,31,43,36,7,Yes
BMW 328d,2.0,4,SemiAuto-8,4WD,Diesel,FA,small car,3.0,30,40,34,6,No
BMW 328d,2.0,4,SemiAuto-8,4WD,Diesel,CA,small car,3.0,30,40,34,6,No
BMW 328d Sports Wagon,2.0,4,SemiAuto-8,4WD,Diesel,FA,station wagon,3.0,30,40,34,6,No
BMW 328d Sports Wagon,2.0,4,SemiAuto-8,4WD,Diesel,CA,station wagon,3.0,30,40,34,6,No
BMW 330i,2.0,4,Man-6,2WD,Gasoline,CA,small car,7.0,21,32,25,5,No
BMW 330i,2.0,4,Man-6,2WD,Gasoline,FA,small car,7.0,21,32,25,5,No
BMW 330i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No
BMW 330i,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No
BMW 330i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No
BMW 330i,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No
BMW 330i Gran Turismo,2.0,4,SemiAuto-8,4WD,Gasoline,CA,large car,7.0,23,33,27,6,No
BMW 330i Gran Turismo,2.0,4,SemiAuto-8,4WD,Gasoline,FA,large car,7.0,23,33,27,6,No
BMW 330i Sports Wagon,2.0,4,SemiAuto-8,4WD,Gasoline,CA,station wagon,7.0,23,33,27,6,No
BMW 330i Sports Wagon,2.0,4,SemiAuto-8,4WD,Gasoline,FA,station wagon,7.0,23,33,27,6,No
BMW 340i,3.0,6,Man-6,2WD,Gasoline,CA,small car,3.0,19,29,23,5,No
BMW 340i,3.0,6,Man-6,2WD,Gasoline,FA,small car,3.0,19,29,23,5,No
BMW 340i,3.0,6,Man-6,4WD,Gasoline,CA,small car,3.0,19,29,23,5,No
BMW 340i,3.0,6,Man-6,4WD,Gasoline,FA,small car,3.0,19,29,23,5,No
BMW 340i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,32,25,5,No
BMW 340i,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,32,25,5,No
BMW 340i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21,31,25,5,No
BMW 340i,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21,31,25,5,No
BMW 340i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,20,29,23,5,No
BMW 340i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,20,29,23,5,No
BMW 430i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No
BMW 430i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No
BMW 430i Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,22,32,26,5,No
BMW 430i Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,22,32,26,5,No
BMW 430i Coupe,2.0,4,Man-6,2WD,Gasoline,CA,small car,7.0,21,33,25,5,No
BMW 430i Coupe,2.0,4,Man-6,2WD,Gasoline,FA,small car,7.0,21,33,25,5,No
BMW 430i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No
BMW 430i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No
BMW 430i Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No
BMW 430i Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No
BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,29,24,5,No
BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,29,24,5,No
